Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Shoreham,Grand Total,636,1239,304,284,7,41,27253478,18057955,17197049,819081.9372
2005,Shrewsbury,Grand Total,584,1072,277,265,7,35,29963962,20449080,19536966,999589.2831
2005,South Burlington,Grand Total,9222,16108,3415,5065,116,626,577292985.2,420293092.2,395015410.2,20652149.26
2005,South Hero,Grand Total,899,1661,422,406,11,60,56087130,39779155,38304737,2037070.65
2005,Springfield,Grand Total,4644,8456,1871,2251,80,442,171995808,109957005,106585154,4650692.742
2005,St. Albans City,Grand Total,3479,6240,1128,1878,71,402,141442572,92792230,87388346,4143184.866
2005,St. Albans Town,Grand Total,2842,5552,1279,1263,36,264,133537988,91367493,89002794,4246605.257
2005,St. George,Grand Total,323,618,140,146,3,34,16430861,11318523,10925219,542298.2495
2005,St. Johnsbury,Grand Total,3500,6397,1302,1787,39,372,125420512,79639024,77814768,3540794.884
2005,Stamford,Grand Total,372,766,206,140,7,19,18014634,12132774,11596428,193095.9499
2005,Stannard,Grand Total,86,160,33,39,1,13,2560999,1471199,1449077,63310.515
2005,Starksboro,Grand Total,836,1730,374,370,11,81,35363410,22652257,22008013,948955.9386
2005,Stockbridge,Grand Total,319,616,151,140,8,20,14126652,9485000,8943521,349051.3806
2005,Stowe,Grand Total,2433,4244,948,1318,37,130,250560598,195527048,174274128,11354716.33
2005,Strafford,Grand Total,554,1104,270,236,7,41,31890775,22596122,20926496,1080399.858
2005,Stratton,Grand Total,146,259,54,76,8,8,8818961,6029413,5660501,267234.9122
2005,Sudbury,Grand Total,254,505,139,97,4,14,11919412,7979498,7658093,340148.1053
2005,Sunderland,Grand Total,431,847,231,161,6,33,21107379,14376501,13727530,577428.4443
2005,Sutton,Grand Total,443,888,220,183,7,33,15115121,8993422,8702886,354461.048
2005,Swanton,Grand Total,3148,6123,1365,1433,49,301,137137533,90841981,88642349,4048181.101
2005,Thetford,Grand Total,1433,2713,635,656,28,114,76957580,54173920,51408473,2519025.162
2005,Tinmouth,Grand Total,266,509,125,115,4,22,11604863,7814507,7221191,282828.7839
2005,Topsham,Grand Total,544,1095,251,228,11,54,18902430,11360122,11074692,450601.7724
2005,Townshend,Grand Total,542,1005,234,261,8,39,24187120,16331561,15589088,741438.5781
2005,Troy,Grand Total,799,1539,346,367,14,72,24316257,14329088,14165340,597099.8751
2005,Tunbridge,Grand Total,621,1152,283,281,5,52,25553411,16738223,16123905,698434.8577
2005,Underhill ID,Grand Total,392,734,178,198,3,13,19880082.01,13855696,13408195,611204.5956
2005,Underhill Town,Grand Total,1161,2484,655,439,14,53,76771453,54478810,52693775,2651548.743
