Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Underhill Town,15000 - 19999,37,60.0,9.0,25.0,2.0,1.0,645130.0,226611.0,226611.0,7000.3159
2005,Underhill Town,20000 - 24999,54,77.0,10.0,42.0,0.0,2.0,1198473.0,563349.0,553873.0,19940.0
2005,Underhill Town,25000 - 29999,46,85.0,16.0,24.0,2.0,4.0,1276255.0,679249.0,671161.0,20893.9931
2005,Underhill Town,30000 - 34999,47,82.0,16.0,22.0,3.0,6.0,1523806.0,845624.0,836334.0,28033.8692
2005,Underhill Town,35000 - 39999,53,105.0,25.0,21.0,0.0,7.0,1993206.0,1107824.0,1084702.0,39073.002
2005,Underhill Town,40000 - 44999,44,95.0,25.0,14.0,0.0,5.0,1883136.0,1139711.0,1114184.0,40938.144
2005,Underhill Town,45000 - 49999,46,104.0,25.0,18.0,2.0,1.0,2181514.0,1238455.0,1229915.0,46945.2233
2005,Underhill Town,50000 - 59999,61,157.0,43.0,12.0,1.0,5.0,3361995.0,2063960.0,2040476.0,78170.0
2005,Underhill Town,60000 - 74999,114,302.0,85.0,18.0,2.0,9.0,7723120.0,5064753.0,5012988.0,195925.8008
2005,Underhill Town,75000 - 99999,173,487.0,155.0,14.0,1.0,3.0,14914089.0,10551972.0,10450281.0,449040.3012
2005,Underhill Town,100000 - 149999,146,454.0,133.0,9.0,0.0,4.0,17745718.0,13392139.0,13122602.0,678068.0
2005,Underhill Town,150000 +,86,282.0,81.0,4.0,0.0,1.0,21079619.0,17280634.0,16053791.0,1037191.3664
2005,Wells River,Loss or None,*,,,,,,,,,
2005,Wells River,0.01 - 9999,56,55.0,6.0,44.0,1.0,5.0,270562.0,20490.0,19442.0,700.0
2005,Wells River,10000 - 19999,45,81.0,9.0,24.0,0.0,12.0,696690.0,200712.0,200576.0,7014.6793
2005,Wells River,20000 - 29999,54,86.0,12.0,30.0,0.0,12.0,1337733.0,664900.0,660146.0,23418.1475
2005,Wells River,30000 - 39999,22,45.0,10.0,11.0,0.0,1.0,781921.0,429226.0,430517.0,15111.9826
2005,Wells River,40000 - 49999,13,25.0,4.0,8.0,0.0,1.0,585340.0,406171.0,406171.0,15521.3472
2005,Wells River,50000 - 74999,29,70.0,20.0,6.0,0.0,3.0,1796810.0,1196091.0,1187439.0,46482.0
2005,Wells River,75000 +,12,36.0,12.0,0.0,0.0,0.0,1189150.0,899191.0,858293.0,40448.0
2005,Suppressed,Loss or None,7,9.0,1.0,6.0,0.0,0.0,-45472.0,0.0,0.0,0.0
2005,Suppressed,5000 - 9999,1,0.0,0.0,1.0,0.0,0.0,6045.0,1045.0,1045.0,0.0
2005,Suppressed,60000 - 74999,1,5.0,1.0,0.0,0.0,0.0,64851.0,38603.0,27402.0,0.0
2005,Suppressed,150000 +,14,30.0,9.0,5.0,0.0,0.0,2879154.0,2315270.0,2003864.0,87518.25769999999
2006,Alburg,Loss or None,15,25.0,8.0,5.0,1.0,1.0,-523979.0,0.0,0.0,236.0
2006,Alburg,0.01 - 4999,87,74.0,10.0,72.0,0.0,5.0,260504.0,7283.0,7283.0,265.0
2006,Alburg,5000 - 9999,94,107.0,10.0,74.0,2.0,8.0,708966.0,64424.0,65876.0,2268.1538
2006,Alburg,10000 - 14999,86,143.0,18.0,57.0,0.0,11.0,1064730.0,229178.0,226777.0,7560.18
2006,Alburg,15000 - 19999,85,165.0,30.0,50.0,1.0,4.0,1503876.0,430992.0,425903.0,13166.3979
2006,Alburg,20000 - 24999,76,136.0,25.0,38.0,2.0,11.0,1709800.0,668423.0,662584.0,21722.1622
2006,Alburg,25000 - 29999,93,189.0,30.0,41.0,2.0,20.0,2531224.0,1153041.0,1141256.0,38631.754
2006,Alburg,30000 - 34999,66,134.0,23.0,32.0,2.0,9.0,2133333.0,1125671.0,1123482.0,38981.8783
2006,Alburg,35000 - 39999,58,113.0,21.0,29.0,2.0,6.0,2164449.0,1268549.0,1243682.0,41923.8294
2006,Alburg,40000 - 44999,48,97.0,25.0,19.0,3.0,1.0,2052124.0,1286463.0,1286297.0,45943.8874
2006,Alburg,45000 - 49999,35,80.0,25.0,10.0,0.0,0.0,1654053.0,1005509.0,996660.0,33385.0
2006,Alburg,50000 - 59999,62,136.0,41.0,16.0,3.0,2.0,3399309.0,2237500.0,2221832.0,87579.1835
2006,Alburg,60000 - 74999,84,211.0,66.0,13.0,2.0,3.0,5631320.0,3805827.0,3793466.0,129960.1486
2006,Alburg,75000 - 99999,66,169.0,58.0,5.0,2.0,1.0,5663501.0,4125422.0,4099580.0,160955.7646
2006,Alburg,100000 - 149999,39,92.0,35.0,4.0,0.0,0.0,4497806.0,3376909.0,3245013.0,146836.39299999998
2006,Alburg,150000 +,20,50.0,19.0,1.0,0.0,0.0,5885355.0,4991208.0,4689779.0,258905.1184
2006,Buel's Gore,0.01 - 9999,*,,,,,,,,,
2006,Buel's Gore,10000 - 19999,*,,,,,,,,,
2006,Buel's Gore,20000 - 29999,*,,,,,,,,,
2006,Buel's Gore,30000 - 39999,*,,,,,,,,,
2006,Buel's Gore,40000 - 49999,*,,,,,,,,,
2006,Buel's Gore,50000 - 74999,*,,,,,,,,,
2006,Buel's Gore,75000 +,*,,,,,,,,,
2006,Enosburg,Loss or None,16,25.0,5.0,10.0,0.0,1.0,-302670.0,0.0,0.0,0.0
2006,Enosburg,0.01 - 4999,138,133.0,19.0,112.0,1.0,6.0,380247.0,1348.0,967.0,38.0
2006,Enosburg,5000 - 9999,158,195.0,25.0,109.0,2.0,22.0,1174857.0,108499.0,107076.0,3908.0997
2006,Enosburg,10000 - 14999,108,171.0,16.0,70.0,1.0,21.0,1344944.0,265848.0,259287.0,9258.0
2006,Enosburg,15000 - 19999,98,182.0,25.0,49.0,2.0,22.0,1734444.0,502871.0,499722.0,18054.9485
2006,Enosburg,20000 - 24999,113,216.0,30.0,59.0,2.0,22.0,2551140.0,1040262.0,1028353.0,35984.059
2006,Enosburg,25000 - 29999,90,194.0,33.0,41.0,0.0,16.0,2489070.0,1138068.0,1128822.0,39884.0
2006,Enosburg,30000 - 34999,92,186.0,28.0,46.0,2.0,16.0,2968394.0,1633262.0,1630746.0,58011.9448
2006,Enosburg,35000 - 39999,72,139.0,26.0,35.0,1.0,10.0,2676906.0,1637444.0,1630059.0,57383.92
2006,Enosburg,40000 - 44999,57,127.0,33.0,15.0,2.0,7.0,2432315.0,1494111.0,1454536.0,53952.6868
2006,Enosburg,45000 - 49999,64,154.0,44.0,15.0,0.0,5.0,3036697.0,1839425.0,1805910.0,68129.8
2006,Enosburg,50000 - 59999,80,203.0,55.0,14.0,2.0,9.0,4361087.0,2815453.0,2771284.0,104402.8844
2006,Enosburg,60000 - 74999,112,331.0,102.0,7.0,0.0,3.0,7543453.0,5129674.0,5001958.0,182913.2647
2006,Enosburg,75000 - 99999,95,271.0,87.0,5.0,1.0,2.0,8038203.0,5879096.0,5771336.0,241227.41
2006,Enosburg,100000 - 149999,34,104.0,33.0,1.0,0.0,0.0,3937363.0,2969571.0,2918120.0,142400.90600000002
2006,Enosburg,150000 +,16,35.0,9.0,7.0,0.0,0.0,4135944.0,3397252.0,2799124.0,196342.0
2006,Essex Junction,Loss or None,35,26.0,3.0,30.0,0.0,2.0,-221542.0,0.0,0.0,0.0
2006,Essex Junction,0.01 - 4999,558,229.0,18.0,520.0,3.0,17.0,1534008.0,79081.0,63782.0,2260.0
2006,Essex Junction,5000 - 9999,467,349.0,28.0,401.0,7.0,31.0,3375731.0,426812.0,405265.0,14631.751
2006,Essex Junction,10000 - 14999,370,466.0,31.0,302.0,7.0,30.0,4603205.0,1398345.0,1359442.0,45387.08360000001
2006,Essex Junction,15000 - 19999,348,468.0,39.0,270.0,4.0,35.0,6107813.0,2477921.0,2454337.0,85931.3174
2006,Essex Junction,20000 - 24999,382,533.0,43.0,286.0,2.0,51.0,8613013.0,4336882.0,4309725.0,149300.30489999993
